distance,rdistance,HU
61.9493,52.919,4680.794
62.0473,53.017,4496.327
62.1443,53.114,4461.693
62.2413,53.211,4539.555
62.3383,53.308,4422.199
62.4353,53.405,4332.462
62.5323,53.502,4398.194
62.6293,53.599,4432.801
62.7263,53.696,4346.15
62.8233,53.793,4282.254
62.9203,53.89,4188.999
63.0183,53.988,4100.364
63.1153,54.085,4055.061
63.2123,54.182,4062.627
63.3093,54.279,4053.575
63.4063,54.376,4013.583
63.5033,54.473,3862.451
63.6003,54.57,3613.59
63.6973,54.667,3778.671
63.7943,54.764,3934.899
63.8913,54.861,3921.409
63.9893,54.959,3810.864
64.0863,55.056,3676.991
64.1833,55.153,3636.489
64.2803,55.25,3616.122
64.3773,55.347,3690.905
64.4743,55.444,3734.054
64.5713,55.541,3700.097
64.6683,55.638,3619.521
64.7653,55.735,3447.512
64.8633,55.833,3348.429
64.9603,55.93,3429.451
65.0573,56.027,3569.41
65.1543,56.124,3597.953
65.2513,56.221,3554.651
65.3483,56.318,3565.657
65.4453,56.415,3548.166
65.5423,56.512,3373.051
65.6393,56.609,3269.275
65.7363,56.706,3409.623
65.8343,56.804,3490.477
65.9313,56.901,3397.53
66.0283,56.998,3412.769
66.1253,57.095,3452.773
66.2223,57.192,3322.233
66.3193,57.289,3238.691
66.4163,57.386,3364.599
66.5133,57.483,3418.524
66.6103,57.58,3406.157
66.7073,57.677,3419.693
66.8053,57.775,3480.034
66.9023,57.872,3457.782
66.9993,57.969,3348.1
67.0963,58.066,3380.569
67.1933,58.163,3425.24
67.2903,58.26,3552.343
67.3873,58.357,3674.033
67.4843,58.454,3778.715
67.5813,58.551,3831.552
67.6783,58.648,3814.969
67.7753,58.745,3750.027
67.8733,58.843,3717.165
67.9703,58.94,3764.331
68.0673,59.037,3821.972
68.1643,59.134,3945
68.2613,59.231,3912.85
68.3583,59.328,3738.334
68.4553,59.425,3773.314
68.5523,59.522,3850.1
68.6493,59.619,3935.537
68.7463,59.716,4001.906
68.8443,59.814,4083.055
68.9413,59.911,3991.559
69.0383,60.008,3911.677
69.1353,60.105,3731.294
69.2323,60.202,3661.669
69.3293,60.299,3777.295
69.4263,60.396,3695.587
69.5233,60.493,3555.215
69.6203,60.59,3704.711
69.7183,60.688,3790.931
69.8153,60.785,3811.628
69.9123,60.882,3785.794
70.0093,60.979,3694.054
70.1063,61.076,3701.159
70.2033,61.173,3801.041
70.3003,61.27,3802.039
70.3973,61.367,3779.181
70.4943,61.464,3783.816
70.5913,61.561,3741.012
70.6893,61.659,3649.495
70.7863,61.756,3632.604
70.8833,61.853,3641.231
70.9803,61.95,3712.416
71.0773,62.047,3876.962
71.1743,62.144,4060.137
71.2713,62.241,4129.51
71.3683,62.338,4141.015
71.4653,62.435,4243.159
71.5623,62.532,4315.457
71.6603,62.63,4301.55
71.7573,62.727,4300.688
71.8543,62.824,4419.416
71.9513,62.921,4457.535
72.0483,63.018,4505.325
72.1453,63.115,4619.595
72.2423,63.212,4659.935
72.3393,63.309,4750.968
72.4363,63.406,4754.367
72.5333,63.503,4718.071
72.6303,63.6,4613.454
72.7283,63.698,4364.506
72.8253,63.795,4518.013
72.9223,63.892,4622.801
73.0193,63.989,4666.842
73.1163,64.086,4760.011
73.2133,64.183,4783.47
73.3103,64.28,4814.227
73.4073,64.377,4828.244
73.5043,64.474,4843.556
73.6023,64.572,4827.25
73.6993,64.669,4866.287
73.7963,64.766,4786.678
73.8933,64.863,4663.146
73.9903,64.96,4826.53
74.0873,65.057,4914.964
74.1843,65.154,4791.035
74.2813,65.251,4679.522
74.3783,65.348,4671.864
74.4753,65.445,4699.49
74.5733,65.543,4627.825
74.6703,65.64,4517.255
74.7673,65.737,4469.826
74.8643,65.834,4489.176
74.9613,65.931,4496.191
75.0583,66.028,4501.306
75.1553,66.125,4521.207
75.2523,66.222,4333.522
75.3493,66.319,4233.874
75.4463,66.416,4216.316
75.5433,66.513,4160.47
75.6413,66.611,4113.521
75.7383,66.708,3979.33
75.8353,66.805,3957.731
75.9323,66.902,4008.961
76.0293,66.999,3814.927
76.1263,67.096,3644.073
76.2233,67.193,3649.32
76.3203,67.29,3695.913
76.4173,67.387,3636.395
76.5143,67.484,3692.522
76.6123,67.582,3839.94
76.7093,67.679,3947.891
76.8063,67.776,4058.64
76.9033,67.873,3938.255
77.0003,67.97,3886.821
77.0973,68.067,3896.542
77.1943,68.164,3884.621
77.2913,68.261,3956.105
77.3883,68.358,4025.608
77.4853,68.455,4051.193
77.5833,68.553,3961.166
77.6803,68.65,4001.398
77.7773,68.747,4169.549
77.8743,68.844,4143.346
77.9713,68.941,3912.196
78.0683,69.038,3981.673
78.1653,69.135,4148.216
78.2623,69.232,4121.451
78.3593,69.329,4088.444
78.4563,69.426,4098.083
78.5543,69.524,4088.766
78.6513,69.621,4065.377
78.7483,69.718,3994.715
78.8453,69.815,3911.863
78.9423,69.912,3892.916
79.0393,70.009,3982.774
79.1363,70.106,4159.088
79.2333,70.203,4156.646
79.3303,70.3,4086.038
79.4273,70.397,4066.788
79.5253,70.495,4074.736
79.6223,70.592,4044.838
79.7193,70.689,4105.995
79.8163,70.786,4378.574
79.9133,70.883,4285.927
80.0103,70.98,4240.049
80.1073,71.077,4468.877
80.2043,71.174,4585.812
80.3013,71.271,4500.737
80.3983,71.368,4398.307
80.4963,71.466,4249.975
80.5933,71.563,4312.256
80.6903,71.66,4349.79
80.7873,71.757,4179.781
80.8843,71.854,4115.932
80.9813,71.951,4157.496
81.0783,72.048,4163.462
81.1753,72.145,4162.119
81.2723,72.242,4136.019
81.3703,72.34,4204.997
81.4673,72.437,4285.085
81.5643,72.534,4382.242
81.6613,72.631,4389.165
81.7583,72.728,4367.732
81.8553,72.825,4317.106
81.9523,72.922,4332.877
82.0493,73.019,4334.134
82.1463,73.116,4343.679
82.2433,73.213,4342.203
82.3413,73.311,4442.018
82.4383,73.408,4402.552
82.5353,73.505,4384.293
82.6323,73.602,4435.158
82.7293,73.699,4450.394
82.8263,73.796,4470.928
82.9233,73.893,4511.407
83.0203,73.99,4599.013
83.1173,74.087,4701.259
