"distance" "date" "SrCa" "density" "SST"
114 2009-08-29 8.9901673089504 1.34377841692493 24.92
114.5 2009-08-13 8.94544791069594 1.39362647723326 25.06
115 2009-07-27 8.90144318627826 1.34911739539136 25.57
115.5 2009-07-11 8.88092653135539 1.36152599195065 25.33
116 2009-06-24 8.86958060803696 1.36144393928006 26.59
116.5 2009-06-08 8.84960194345715 1.3563810251193 27.81
117 2009-05-22 8.84892481702054 1.41542366085479 27.84
117.5 2009-05-06 8.79286729691265 1.44244052297325 27.65
118 2009-04-20 8.79518028480761 1.52014800329739 28.98
118.5 2009-04-03 8.79915813180931 1.53771322082693 28.53
119 2009-03-18 8.78454964303673 1.67194207025423 29.39
119.5 2009-03-01 8.7837056018697 1.70676359651824 29.28
